"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Li_Ning,""Gymnastics"",""CHN"",1984,1984,3,2,1,6"
"http://dbpedia.org/resource/Tirunesh_Dibaba,""Athletics"",""ETH"",2004,2016,3,0,3,6"
"http://dbpedia.org/resource/Lilly_King,""Swimming"",""USA"",2016,2024,3,2,1,6"
"http://dbpedia.org/resource/Reiner_Klimke,""Equestrian"",""EUA"",1964,1984,4,0,2,6"
"http://dbpedia.org/resource/Georges_Miez,""Gymnastics"",""SUI"",1924,1936,3,2,1,6"
"http://dbpedia.org/resource/Aly_Raisman,""Gymnastics"",""USA"",2012,2016,3,2,1,6"
"http://dbpedia.org/resource/Konrad_Frey,""Gymnastics"",""GER"",1936,1936,3,1,2,6"
"http://dbpedia.org/resource/Olga_Korbut,""Gymnastics"",""URS"",1972,1976,4,2,0,6"
"http://dbpedia.org/resource/Albert_Helgerud,""Shooting"",""NOR"",1908,1920,2,3,1,6"
"http://dbpedia.org/resource/Olga_Tass,""Gymnastics"",""HUN"",1948,1956,1,3,2,6"
"http://dbpedia.org/resource/Teddy_Riner,""Judo"",""FRA"",2008,2024,4,0,2,6"
"http://dbpedia.org/resource/Jason_Lezak,""Swimming"",""BRA"",2000,2008,3,1,2,6"
"http://dbpedia.org/resource/Olga_Kharlan,""Fencing"",""UKR"",2008,2024,2,1,3,6"
"http://dbpedia.org/resource/Michael_Gross_(swimmer),""Swimming"",""FRG"",1984,1988,3,2,1,6"
"http://dbpedia.org/resource/Georgeta_Damian,""Rowing"",""ROU"",2000,2008,5,0,1,6"
"http://dbpedia.org/resource/Huang_Xuechen,""Synchronized swimming"",""CHN"",2008,2020,0,4,2,6"
"http://dbpedia.org/resource/Apolo_Ohno,""Short-track speed skating"",""USA"",2002,2010,2,2,2,6"
"http://dbpedia.org/resource/Gregorio_Paltrinieri,""Swimming"",""ITA"",2016,2024,1,2,2,5"
"http://dbpedia.org/resource/Veikko_Huhtanen,""Gymnastics"",""FIN"",1948,1948,3,1,1,5"
"http://dbpedia.org/resource/Josef_Dostál_(canoeist),""Canoeing"",""CZE"",2012,2024,1,1,3,5"
"http://dbpedia.org/resource/Clara_Hughes,""Speed skating"",""CAN"",1996,2010,1,1,3,5"
"http://dbpedia.org/resource/Ines_Diers,""Swimming"",""GDR"",1980,1980,2,2,1,5"
"http://dbpedia.org/resource/Stina_Nilsson,""Cross-country skiing"",""SWE"",2014,2018,1,2,2,5"
"http://dbpedia.org/resource/Vincent_Hancock,""Shooting"",""USA"",2008,2024,4,1,0,5"
"http://dbpedia.org/resource/Charles_Daniels_(swimmer),""Swimming"",""USA"",1904,1908,3,1,1,5"
"http://dbpedia.org/resource/Morris_Fisher,""Shooting"",""USA"",1920,1924,5,0,0,5"
"http://dbpedia.org/resource/Raimondo_D'Inzeo,""Equestrian"",""ITA"",1956,1972,1,2,2,5"
"http://dbpedia.org/resource/Jennifer_Valente,""Cycling"",""USA"",2016,2024,3,1,1,5"
"http://dbpedia.org/resource/Østen_Østensen,""Shooting"",""NOR"",1912,1920,0,3,2,5"
"http://dbpedia.org/resource/Johann_Olav_Koss,""Speed skating"",""NOR"",1992,1994,4,1,0,5"
"http://dbpedia.org/resource/Julien_Brulé,""Archery"",""FRA"",1920,1920,1,3,1,5"
